Symbol,Company Name,EPS Growth CFY*,EPS Growth NFY*,Revenue Growth CFY*,Revenue Growth NFY*,Dividend Yield,Dividend Growth 5 Year
AGBA,AGBA Acquisition Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AGCO,AGCO Corporation,13.87%,6.85%,12.35%,3.47%,0.86%,0.00%
UAVS,Ageagle Aerial Systems Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AGESY,Ageas SA - ADR,14.38%,6.19%,-10.30%,2.58%,13.59%,0.00%
AIFS,Agent Information Software Inc,0.00%,0.00%,0.00%,0.00%,1.94%,0.00%
AGTX,Agentix Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AGEN,Agenus Inc,-536.36%,14.29%,-68.47%,8.32%,0.00%,0.00%
AGE,AgeX Therapeutics Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AGGR,Agile Growth Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AGRX,Agile Therapeutics Inc,92.92%,71.56%,143.57%,148.15%,0.00%,0.00%
A,Agilent Technologies Inc,11.52%,9.92%,5.93%,6.73%,0.64%,11.36%
AGIL,AgileThought Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AGTI,Agiliti Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AGL,Agilon Health Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AGYS,"Agilysys, Inc.",4.88%,16.28%,19.32%,14.29%,0.00%,0.00%
AGIO,Agios Pharmaceuticals Inc,0.00%,11.13%,0.00%,211.56%,0.00%,0.00%
AGMH,AGM Group Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AGNC,AGNC Investment Corp,-10.93%,-18.59%,19.38%,-2.90%,11.36%,-13.07%
AEM,Agnico Eagle Mines Ltd (USA),-2.07%,-4.22%,57.15%,0.77%,3.56%,31.21%
API^E15,Agora Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADC,Agree Realty Corporation,2.81%,0.55%,24.16%,20.74%,3.58%,6.62%
AGRIP,Agribank FCB,0.00%,0.00%,0.00%,0.00%,6.67%,0.00%
AGRI,AgriFORCE Growing Systems Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AGFY,Agrify Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AGFS,AgroFresh Solutions Inc,-30.00%,7.69%,6.20%,5.11%,0.00%,0.00%
AHRN,Ahren Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AIAD,Aiadvertising Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AIB^J17,AIB Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AIKI,Aikido Pharma Inc,-133.33%,38.10%,0.00%,0.00%,0.00%,0.00%
ALRN,Aileron Therapeutics Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AIM^F13,AIM ImmunoTech Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AIMAU,Aimfinity Investment I Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AIMD,Ainos Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AIRYY,Air China Ltd (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AFLYY,Air France KLM SA (ADR),54.16%,97.91%,26.73%,59.46%,0.00%,0.00%
AIRI,Air Industries Group,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AL,Air Lease Corp,-84.87%,927.78%,13.53%,15.32%,1.88%,24.20%
APD,"Air Products & Chemicals, Inc.",14.30%,11.74%,19.73%,6.76%,2.45%,11.82%
AIRT,"Air T, Inc.",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ATSG,Air Transport Services Group Inc.,35.54%,10.67%,15.80%,8.17%,0.00%,0.00%
ABNB,Airbnb Inc,0.00%,15.67%,38.17%,15.21%,0.00%,0.00%
EADSY,Airbus SE (ADR),0.00%,44.53%,0.00%,17.81%,1.47%,0.00%
AIRG,Airgain Inc,0.00%,333.33%,18.29%,17.61%,0.00%,0.00%
ANTE,Airnet Technology Inc(ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AIRS,Airsculpt Technologies Inc,-87.50%,880.00%,34.07%,23.14%,0.00%,0.00%
MIMO,Airspan Networks Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ASEKY,Aisin Corp (ADR),0.00%,0.00%,0.00%,0.00%,7.47%,0.00%
AIXN,AiXin Life International Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AJIA,Ajia Innogroup Holdings Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AKA,AKA Brands Holding Corp,-60.00%,150.00%,13.17%,15.90%,0.00%,0.00%
AKAM,"Akamai Technologies, Inc.",-8.19%,8.73%,3.96%,6.19%,0.00%,0.00%
AKAN,Akanda Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AKTX,Akari Therapeutics PLC (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AKBTY,Akbank T.A.S. (ADR),0.00%,0.00%,0.00%,0.00%,3.02%,0.00%
AKBA,Akebia Therapeutics Inc,70.00%,17.65%,33.95%,-28.15%,0.00%,0.00%
KERN,Akerna Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AKRO,Akero Therapeutics Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AKUS,Akouos Inc,-17.46%,15.54%,0.00%,0.00%,0.00%,0.00%
AKTS,Akoustis Technologies Inc,16.19%,37.50%,146.52%,173.77%,0.00%,0.00%
AKYA,Akoya Biosciences Inc,4.85%,23.57%,31.44%,26.86%,0.00%,0.00%
,Akso Health Group - ADR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AKZOY,Akzo Nobel NV  (ADR),0.00%,0.00%,0.00%,0.00%,3.16%,0.00%
ALG,"Alamo Group, Inc.",20.67%,12.39%,14.36%,4.72%,0.52%,9.24%
