Symbol,Company Name,5 Day Chg,4 Week Chg,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,Beta
SDIG,Stronghold Digital Mining Inc,13.47%,53.00%,34.24%,26.13%,0.00%,2.75
SYK,Stryker Corporation,1.53%,13.00%,1.93%,-9.63%,-8.88%,1
SNAX,Stryve Foods Inc,13.91%,-3.00%,-8.74%,-3.45%,-87.09%,1.27
MSC^F10,Studio City International Holdings Ltd,-11.08%,-7.00%,-16.51%,-29.59%,-81.22%,0.92
STBI,"Sturgis Bancorp, Inc.",0.68%,-1.00%,-13.06%,-12.02%,13.61%,
RGR,Sturm Ruger & Company Inc,-12.65%,-8.00%,-17.50%,-16.08%,-26.27%,0.64
SUBCY,Subsea 7 SA (ADR),0.67%,25.00%,8.91%,-2.08%,25.29%,
SPH,Suburban Propane Partners LP,2.39%,4.00%,-7.13%,-10.02%,7.90%,0.38
SUGR,Sugar Creek Financial Corp,-0.36%,0.00%,-10.02%,-6.53%,29.30%,
SGMD,Sugarmade Inc,0.00%,0.00%,-9.70%,-29.90%,-84.19%,
SMFG,Sumitomo Mitsui Financial Group Inc(ADR),1.30%,6.00%,-5.60%,0.41%,-5.01%,0.53
SUME,Summer Energy Holdings Inc,0.00%,-60.00%,-30.63%,124.32%,-32.01%,
SBKO,Summit Bank (Oregon),0.00%,3.00%,0.00%,0.00%,0.00%,
SMMF,"Summit Financial Group, Inc.",0.65%,9.00%,-2.39%,4.16%,30.06%,0.45
SMIH,Summit Healthcare Acquisition Corp,0.10%,1.00%,-9.14%,-6.15%,7.47%,-0.01
INN,Summit Hotel Properties Inc,3.55%,14.00%,3.78%,-7.95%,0.63%,1.14
SUM,Summit Materials Inc,13.55%,33.00%,19.62%,18.93%,-6.84%,1.14
SMLP,Summit Midstream Partners LP,6.37%,24.00%,13.64%,-20.69%,-53.11%,0.82
SSBI,Summit State Bank,-2.45%,1.00%,-9.13%,-7.15%,5.16%,0.12
SMMT,Summit Therapeutics Inc,9.40%,6.00%,-1.40%,-4.70%,-86.47%,0.8
SUMO,Sumo Logic Inc,19.71%,27.00%,10.28%,18.14%,-52.46%,1.74
SUI,Sun Communities Inc,4.65%,5.00%,-4.86%,0.79%,-7.93%,0.64
SNCY,Sun Country Airlines Holdings Inc,-5.15%,7.00%,-5.47%,-19.49%,-38.93%,1.41
SUHJY,Sun Hung Kai Properties Limited (ADR),3.36%,3.00%,-8.56%,-2.55%,-10.71%,
SLF,Sun Life Financial Inc,2.71%,10.00%,-2.09%,-3.39%,-5.07%,0.63
SNPW,Sun Pacific Holding Corp,37.25%,126.00%,107.47%,139.37%,8.48%,
SXC^K09,SunCoke Energy Inc,1.17%,0.00%,-10.61%,-15.56%,-3.16%,0.78
SU,Suncor Energy Inc. (USA),-4.65%,2.00%,-7.07%,-15.04%,64.50%,0.63
SUND,Sundance Strategies Inc,-20.00%,-36.00%,-37.18%,-62.61%,-75.56%,
HYSR,Sunhydrogen Inc,0.00%,55.00%,37.24%,26.13%,-43.51%,
STG,Sunlands Technology Group - ADR,-5.01%,-7.00%,-12.02%,50.85%,-31.24%,-0.07
SUNL,Sunlight Financial Holdings Inc,13.03%,51.00%,36.20%,22.54%,-44.22%,1.29
SSY,"SunLink Health Systems, Inc.",0.54%,15.00%,-6.15%,2.02%,-54.08%,0.84
NOVA,Sunnova Energy International Inc,16.49%,56.00%,33.28%,107.81%,-17.24%,1.73
SUN^J12,Sunoco LP,-8.38%,3.00%,-5.42%,-7.80%,11.67%,0.59
STKL,"SunOpta, Inc. (USA)",-0.61%,1.00%,-8.08%,79.21%,-12.33%,1.51
SPWR,SunPower Corporation,19.29%,60.00%,46.61%,80.67%,15.00%,1.54
SRRE,"Sunrise Real Estate Group, Inc.",0.00%,0.00%,5.35%,3.31%,38.31%,
RUN,Sunrun Inc,20.43%,47.00%,32.71%,90.64%,-21.19%,1.87
SBFM,"Sunshine Biopharma, Inc.",9.82%,9.00%,-2.57%,-39.49%,-93.93%,1.35
SHO,Sunstone Hotel Investors Inc,1.61%,16.00%,6.36%,-6.70%,6.88%,1.18
SVLT,Sunvault Energy Inc,0.43%,-35.00%,-41.73%,-38.31%,-30.45%,
SUWN,Sunwin Stevia International Inc,-21.97%,-25.00%,-35.86%,-42.35%,-80.19%,
SUNW,Sunworks Inc,60.92%,135.00%,107.09%,157.54%,-55.06%,1.61
SLGG,"Super League Gaming, Inc.",13.95%,25.00%,-4.05%,-6.53%,-73.78%,1.41
SMCI,"Super Micro Computer, Inc.",11.32%,55.00%,40.02%,20.70%,74.12%,1.61
SPCB,Supercom Ltd,2.48%,5.00%,-9.87%,-14.56%,-72.06%,0.59
SDPI,Superior Drilling Products Inc,1.09%,9.00%,-1.82%,-13.47%,28.35%,0.15
SGC,Superior Group of Companies Inc,-24.38%,-20.00%,-29.18%,-12.72%,-40.22%,0.87
SUP,Superior Industries International Inc,7.13%,26.00%,14.50%,37.25%,-34.33%,1.02
STRE,Supernova Partners Acquisitn Co III Ltd,0.31%,1.00%,-9.06%,-5.67%,6.90%,0.01
SUPN,Supernus Pharmaceuticals Inc,-1.34%,10.00%,-1.54%,16.57%,35.05%,0.68
SURF,Surface Oncology Inc,4.02%,-9.00%,-19.88%,-13.69%,-66.42%,1.53
SRGA,Surgalign Holdings Inc,31.81%,55.00%,38.86%,-10.38%,-81.19%,23.03
SPRS,Surge Components Inc,1.39%,5.00%,-5.02%,-8.81%,23.59%,
SURG,Surgepays Inc,-3.66%,60.00%,33.95%,77.43%,23.16%,1.13
SGRY,Surgery Partners Inc,3.28%,24.00%,13.75%,-17.81%,-12.75%,1.85
SRDX,"SurModics, Inc.",5.53%,5.00%,-3.85%,3.08%,-28.73%,1.02
SSSS,SuRo Capital Corp,-1.77%,5.00%,-8.74%,-22.07%,-54.48%,0.87
SRYB,Surrey Bancorp,0.00%,0.00%,-9.70%,-9.88%,1.01%,
SRZN,Surrozen Inc,1.95%,-13.00%,-20.76%,22.03%,-67.79%,0.86
SNRG,Susglobal Energy Corp,-13.31%,-39.00%,-49.08%,-49.84%,-1.03%,
SQCF,Susquehanna Community Financial Inc,0.00%,-3.00%,0.00%,0.00%,0.00%,
SDAC,Sustainable Development Acquisitn I Corp,-0.30%,0.00%,-9.43%,-5.96%,7.56%,0.02
STRO,Sutro Biopharma Inc,25.33%,8.00%,-2.77%,27.59%,-61.50%,1.42
SIVB,SVB Financial Group,9.40%,15.00%,0.51%,-4.23%,-17.93%,1.71
SVFA,SVF Investment Corp,0.10%,1.00%,-9.34%,-5.58%,7.00%,0
SVFB,SVF Investment Corp 2,-0.10%,0.00%,-9.33%,-5.96%,5.81%,0
SWDBY,Swedbank AB (ADR),2.49%,11.00%,0.41%,-10.37%,-24.92%,
SG,Sweetgreen Inc,-6.81%,19.00%,11.80%,-3.95%,0.00%,1.49
IVCP,Swiftmerge Acquisition Corp,-0.20%,1.00%,-8.97%,-6.15%,0.00%,0
SWZ,Swiss Helvetia Fund Inc.,0.00%,8.00%,0.00%,0.00%,0.00%,0.47
SCMWY,Swisscom AG (ADR),2.15%,0.00%,-10.62%,-13.49%,-5.15%,
SWCH,Switch Inc,-0.03%,0.00%,-9.19%,-5.53%,45.63%,0.45
SWKH,SWK Holdings Corp,4.17%,6.00%,-4.18%,-9.29%,15.76%,0.23
SWVL,Swvl Holdings Corp,-6.71%,-52.00%,-63.64%,-76.44%,-83.60%,
SEGI,Sycamore Entertainment Group Inc,12.82%,-4.00%,-22.10%,-25.23%,-64.61%,
SLVM,Sylvamo Corp,7.88%,37.00%,25.04%,-12.89%,0.00%,0.72
EVOL,Symbolic Logic Inc,-6.54%,-3.00%,-12.16%,29.76%,-30.56%,
SYM,Symbotic Inc,-2.42%,-10.00%,-10.81%,51.54%,73.30%,
SYNA,"Synaptics, Incorporated",-6.24%,17.00%,7.10%,-6.58%,-13.95%,2.06
SNPX,Synaptogenix Inc,9.12%,54.00%,36.62%,75.85%,1.89%,1.32
SNCR,"Synchronoss Technologies, Inc.",3.70%,49.00%,29.66%,26.63%,-34.91%,1.12
$SYF,Synchrony Financial,4.88%,14.00%,7.26%,-5.66%,-25.04%,1.34
SYCRF,Syncora Holdings Ltd,4.48%,4.00%,-5.66%,18.96%,-68.61%,
SNDX,Syndax Pharmaceuticals Inc,14.34%,25.00%,12.99%,62.55%,65.19%,1
SYNH,Syneos Health Inc,4.72%,-1.00%,-11.36%,-4.39%,-13.39%,1.16
SHMY,Synergy Empire Ltd,0.00%,-36.00%,-42.11%,-41.13%,0.00%,
SYBX,Synlogic Inc,1.02%,-8.00%,-15.72%,-26.72%,-65.23%,1.02
SNPS,"Synopsys, Inc.",1.31%,23.00%,11.94%,34.63%,37.35%,1.39
SNV,Synovus Financial Corp.,5.64%,16.00%,6.87%,0.58%,1.55%,1.23
SYN,Synthetic Biologics Inc,-4.05%,-13.00%,-43.61%,-38.27%,-70.35%,1.07
SYPR,"Sypris Solutions, Inc.",3.94%,1.00%,-13.40%,-1.39%,-30.30%,0.97
SRHYY,Syrah Resources Ltd - ADR,0.00%,60.00%,0.00%,0.00%,0.00%,
SYRS,Syros Pharmaceuticals Inc,9.19%,12.00%,0.93%,9.37%,-78.01%,1.4
SYY,SYSCO Corporation,-5.42%,-7.00%,-14.46%,-9.13%,10.07%,0.9
SYSX,Sysorex Inc,-13.73%,-11.00%,-3.09%,-43.04%,-99.01%,
SST,System1 Inc,-0.12%,14.00%,-4.17%,-31.52%,-7.63%,0.4
TROW,T Rowe Price Group Inc,2.49%,16.00%,5.15%,5.75%,-37.02%,1.31
IDAI,T Stamp Inc,24.28%,-1.00%,-10.94%,-22.35%,-84.66%,2.15
TMUS,T-Mobile Us Inc,0.79%,7.00%,-3.06%,9.81%,6.59%,0.81
TATT,T.A.T. Technologies Ltd.,-1.85%,6.00%,-5.54%,4.49%,8.81%,0.38
TTOO,T2 Biosystems Inc,30.79%,13.00%,-4.25%,-30.93%,-84.14%,1.36
TBTC,Table Trac Inc,-2.95%,2.00%,-8.86%,-20.50%,13.96%,
TBLA,Taboola.com Ltd,12.73%,10.00%,-2.47%,-20.62%,-67.46%,1.59
TRHC,Tabula Rasa HealthCare Inc,17.32%,112.00%,90.34%,23.97%,-85.05%,2.12
TCMD,Tactile Systems Technology Inc,13.19%,50.00%,37.18%,-11.84%,-74.08%,1.49
TWND,Tailwind Acquisition Corp,0.35%,1.00%,-9.29%,-5.54%,6.07%,0
TWNI,Tailwind International Acquisition Corp,-0.10%,0.00%,-9.43%,-5.86%,7.90%,0
TAIT,Taitron Components Inc.,0.52%,14.00%,1.85%,-10.90%,-10.87%,0.07
TSM,Taiwan Semiconductor Mfg. Co. Ltd. (ADR),2.50%,4.00%,-1.50%,-5.64%,-19.70%,1.09
TTWO,Take-Two Interactive Software Inc,-4.64%,1.00%,-7.73%,9.92%,-18.31%,0.96
TAK,Takeda Pharmaceutical Co Ltd (ADR),2.38%,-2.00%,-9.77%,-4.59%,-8.35%,0.39
TKAT,Takung Art Co Ltd,9.09%,8.00%,-2.05%,5.56%,-71.90%,1.62
TAL,TAL Education Group (ADR),-2.07%,18.00%,3.92%,31.19%,-20.88%,1.38
TALS,Talaris Therapeutics Inc,-2.72%,48.00%,38.58%,-30.90%,-64.87%,1.04
TLIS,Talis Biomedical Corp,-0.63%,-9.00%,-18.18%,-33.35%,-90.95%,0.7
TALK,Talkspace Inc,-19.90%,-4.00%,-14.72%,28.83%,-66.55%,1.42
TOAC,Talon 1 Acquisition Corp,0.10%,0.00%,-9.16%,-5.96%,0.00%,0.02
TALN,"Talon International, Inc.",0.00%,-14.00%,-22.02%,8.28%,88.89%,
TALO,Talos Energy Inc,10.39%,38.00%,23.89%,-0.52%,79.96%,0.77
TNDM,Tandem Diabetes Care Inc,-19.59%,3.00%,-8.11%,-25.66%,-43.63%,1.58
TLFA,"Tandy Leather Factory, Inc.",-0.20%,0.00%,-9.70%,-3.64%,14.31%,
SKT,Tanger Factory Outlet Centers Inc.,4.82%,13.00%,3.11%,-10.18%,0.23%,1.08
TNGX,Tango Therapeutics Inc,20.63%,14.00%,-4.92%,0.11%,-48.65%,1.43
TNBI,Tanke Biosciences Corp,47.74%,59.00%,43.13%,29.22%,-49.27%,
TANH,Tantech Holdings Ltd,4.57%,27.00%,0.43%,6.08%,-96.83%,-0.42
TAOP,Taoping Inc,-13.83%,-5.00%,-16.85%,-24.97%,-70.46%,0.3
TPR,Tapestry Inc,1.80%,12.00%,-0.96%,21.38%,-17.22%,1.49
TEDU,Tarena International Inc(ADR),-1.43%,18.00%,8.36%,127.63%,209.41%,0.45
TRGP,Targa Resources Corp,-0.09%,15.00%,3.86%,-8.23%,60.30%,0.88
TGT,Target Corporation,1.04%,16.00%,5.34%,-25.72%,-32.29%,1.21
TGAA,Target Global Acquisition I Corp,0.20%,0.00%,-9.25%,-5.78%,0.00%,0.01
CBDY,Target Group Inc,36.36%,-9.00%,-18.73%,-14.16%,-37.44%,
TH,Target Hospitality Corp,-9.39%,5.00%,0.30%,92.41%,230.52%,0.06
TARO,Taro Pharmaceutical Industries Ltd.,0.70%,-9.00%,-18.34%,-10.71%,-48.91%,0.24
TARS,Tarsus Pharmaceuticals Inc,2.09%,21.00%,5.79%,36.13%,-25.28%,0.72
TGB,Taseko Mines Ltd (USA),15.75%,27.00%,11.88%,-20.30%,-32.06%,1.43
TASK,Taskus Inc,-26.25%,-1.00%,-15.84%,-15.17%,-43.55%,2.37
TMKR,Tastemaker Acquisition Corp,0.10%,0.00%,-9.34%,-5.97%,7.43%,0.01
TTM,Tata Motors Limited (ADR),3.01%,11.00%,4.61%,17.85%,64.64%,1.19
TATYY,Tate & Lyle PLC (ADR),2.33%,10.00%,-0.42%,-3.59%,2.54%,
TTCF,Tattooed Chef Inc,5.88%,15.00%,3.58%,3.00%,-65.51%,1.6
TAUG,Tauriga Sciences Inc,10.64%,95.00%,85.35%,-30.57%,-82.51%,
TTCM,Tautachrome Inc,-5.00%,6.00%,7.23%,-36.58%,-89.24%,
TAYO,Taylor Consulting Inc,0.00%,42.00%,0.00%,0.00%,0.00%,
TAYD,"Taylor Devices, Inc.",-1.79%,-2.00%,-15.35%,-13.16%,-23.20%,0.04
TMHC,Taylor Morrison Home Corp,2.53%,8.00%,-3.22%,3.75%,10.49%,1.46
TSHA,Taysha Gene Therapies Inc,12.44%,17.00%,-0.53%,42.98%,-71.57%,1.95
TBSA,TB SA Acquisition Corp,0.31%,1.00%,-9.15%,-5.86%,7.68%,0.01
TCBC,TC Bancshares Inc,0.07%,2.00%,-6.97%,2.34%,22.59%,0.09
TCBP,TC BioPharm Ltd (ADR),12.33%,5.00%,-3.84%,-63.15%,0.00%,2.27
TRP,TC Energy Corp (USA),-4.73%,-3.00%,-10.36%,-9.63%,7.50%,0.51
TCRR,Tcr2 Therapeutics Inc,10.34%,3.00%,-11.21%,51.61%,-73.12%,1.1
TCVA,TCV Acquisition Corp,0.20%,0.00%,-9.24%,-5.86%,3.38%,0
TSPQ,TCW Special Purpose Acquisition Corp,0.20%,0.00%,-9.33%,-5.96%,6.46%,0
TSI,TCW Strategic Income Fund Inc.,1.00%,6.00%,-5.80%,-3.29%,-8.99%,0.23
GLG^J10,TD Holdings Inc,1.00%,0.00%,-10.41%,47.15%,-64.25%,1.28
SNX,TD Synnex Corp,-2.09%,9.00%,0.86%,-1.14%,-14.84%,1.03
TDCX,TDCX Inc (ADR),-7.50%,-25.00%,-35.76%,-35.34%,0.00%,0.96
PETZ,TDH Holdings Inc,2.11%,-19.00%,-25.42%,-47.50%,-94.94%,-0.26
TTDKY,TDK Corp (ADR),2.78%,28.00%,15.81%,9.64%,4.90%,
TEL,TE Connectivity Ltd,0.74%,16.00%,6.76%,2.80%,-5.71%,1.13
TBBA,Teb Bancorp Inc,0.00%,0.00%,-10.13%,-12.74%,-6.70%,
TETC,Tech & Energy Transition Corp,0.10%,0.00%,-9.33%,-5.96%,6.90%,0
TCRI,TechCom Inc (ADR),14.14%,-49.00%,-67.65%,-87.55%,82.81%,
TCCO,Technical Communications Corporation,-4.55%,-25.00%,-32.28%,-30.40%,-63.48%,
TCLRY,Technicolor SA (ADR),1.00%,6.00%,-4.32%,29.80%,-5.96%,
FTI,TechnipFMC PLC,3.78%,43.00%,32.03%,15.11%,26.66%,1.03
TETE,Technology & Telecommunication Aqstn Crp,0.00%,0.00%,-9.34%,-5.97%,0.00%,0.01
TPCS,TechPrecision Corp,3.38%,3.00%,-3.39%,-6.29%,24.99%,
TTGT,TechTarget Inc,0.65%,18.00%,4.50%,6.22%,-9.19%,1.32
TTNDY,Techtronic Industries Co. Ltd. (ADR),1.29%,6.00%,-5.52%,-14.07%,-35.26%,
TECK,TECK RESOURCES LTD,14.86%,20.00%,12.26%,-14.37%,50.27%,1.06
TGLS,Tecnoglass Inc,11.66%,38.00%,25.57%,28.93%,9.96%,
TGEN,Tecogen Inc,4.32%,21.00%,10.03%,0.39%,-18.70%,
TK,Teekay Corporation,3.74%,24.00%,15.21%,-6.53%,25.33%,0.54
TNK,Teekay Tankers Ltd.,9.30%,39.00%,30.27%,51.11%,127.85%,0.59
TGNA,Tegna Inc,1.32%,6.00%,-1.11%,-7.91%,26.67%,0.29
TGCB,Tego Cyber Inc,0.00%,-2.00%,-11.47%,-11.82%,-25.26%,
TRC,Tejon Ranch Company,3.67%,5.00%,-5.35%,-12.05%,-10.14%,0.54
TEKK,Tekkorp Digital Acquisition Corp,0.15%,0.00%,-9.34%,-5.59%,8.43%,0
HQH,Tekla Healthcare Investors,2.65%,5.00%,-4.48%,0.56%,-21.16%,0.75
THQ,Tekla Healthcare Opportunities Fund,1.41%,2.00%,-8.65%,-1.89%,-10.57%,0.85
HQL,Tekla Life Sciences Investors,4.09%,6.00%,-4.70%,5.89%,-22.35%,0.81
THW,Tekla World Healthcare Fund,0.20%,2.00%,-5.96%,-4.22%,-3.96%,0.7
TIKK,Tel-Instrument Electronics Corp.,-13.79%,0.00%,-12.50%,-20.79%,-17.67%,
TELA,TELA Bio Inc,2.27%,7.00%,-3.61%,-7.08%,-32.31%,0.59
TDOC,Teladoc Health Inc,-1.84%,-7.00%,-14.90%,23.16%,-72.87%,1.87
TEO,Telecom Argentina SA (ADR),0.46%,8.00%,-6.05%,-14.36%,5.77%,0.68
TIIAY,Telecom Italia SpA (ADR),0.90%,-4.00%,-19.41%,-24.14%,-47.43%,
TDY,Teledyne Technologies Incorporated,-1.02%,3.00%,-4.93%,-4.89%,-8.02%,0.86
TFX,Teleflex Incorporated,-0.36%,4.00%,-5.40%,-11.19%,-25.70%,0.78
ERIC,Telefonaktiebolaget LM Ericsson,3.18%,14.00%,-6.21%,-2.52%,-29.32%,0.98
VIV^F11,Telefonica Brasil SA (ADR),8.14%,5.00%,-6.01%,-9.87%,21.25%,0.49
TEF,Telefonica S.A. (ADR),1.61%,-7.00%,-17.88%,-13.57%,-1.52%,0.53
TKAGY,Telekom Austria AG (ADR),0.00%,-3.00%,-12.54%,-24.22%,-26.52%,
TELNY,Telenor ASA (ADR),1.84%,-9.00%,-18.76%,-14.36%,-28.02%,
TDS,"Telephone & Data Systems, Inc.",6.47%,8.00%,-1.36%,-10.48%,-12.45%,0.45
TSAT,Telesat Corp,4.68%,7.00%,-5.80%,-10.60%,-67.07%,1.11
TVBCY,Television Broadcasts Ltd - ADR,0.00%,-4.00%,0.00%,0.00%,0.00%,
TLK,Telkom Indonesia (Persero) Tbk PT -ADR,2.58%,12.00%,3.00%,-3.48%,41.72%,0.37
TLKGY,Telkom SA SOC Ltd (ADR),3.81%,0.00%,-6.26%,-15.17%,-8.03%,
TKOI,"Telkonet, Inc.",6.74%,17.00%,5.26%,10.99%,-2.21%,
TELL,Tellurian Inc,12.68%,22.00%,10.20%,-7.26%,33.30%,1.4
TLS,Telos Corp,4.21%,26.00%,14.72%,23.19%,-66.34%,1.43
TLSYY,Telstra Corporation Ltd,4.72%,10.00%,-1.21%,-0.54%,7.01%,
TU,TELUS Corporation (USA),1.76%,5.00%,-4.48%,-5.48%,7.03%,0.53
TMRR,Temir Corp,62.22%,-23.00%,-37.81%,-74.54%,0.00%,
TPST,Tempest Therapeutics Inc,7.35%,-9.00%,-17.20%,-24.93%,-82.51%,1.45
TDF,Templeton Dragon Fund Inc,4.01%,-5.00%,-15.36%,2.31%,-36.80%,0.62
EMF,Templeton Emerging Markets,1.15%,4.00%,-6.05%,-2.09%,-28.30%,0.56
TEI,Templeton Emerging Markets Income Fund,2.24%,13.00%,-0.22%,-10.77%,-27.40%,0.34
GIM,Templeton Global Income Fund,3.68%,11.00%,-1.92%,-0.51%,-8.06%,0.23
TPX,Tempur Sealy International Inc,0.43%,22.00%,8.80%,6.21%,-31.65%,1.61
TENB,Tenable Holdings Inc,4.81%,-4.00%,-14.60%,-1.64%,10.92%,1.4
TNABY,Tenaga Nasional Bhd (ADR),0.00%,9.00%,0.00%,0.00%,0.00%,
TS,Tenaris SA  (ADR),0.04%,7.00%,-4.88%,-16.90%,36.37%,0.6
TENX,Tenax Therapeutics Inc,14.57%,13.00%,-8.03%,-50.39%,-80.36%,0.02
TNYA,Tenaya Therapeutics Inc,8.71%,6.00%,-7.68%,-22.25%,-71.07%,1.6
TME,Tencent Music Entertainment Group - ADR,-1.19%,-5.00%,-15.80%,4.02%,-58.92%,1.35
THC,Tenet Healthcare Corp,-0.45%,18.00%,10.05%,-12.09%,5.98%,1.33
TNC,Tennant Company,3.27%,14.00%,5.43%,4.66%,-4.51%,0.71
TEN,Tenneco Inc,-0.99%,-1.00%,-11.01%,9.24%,18.07%,0.13
TNON,Tenon Medical Inc,-11.19%,21.00%,7.83%,-93.68%,0.00%,
TDC,Teradata Corporation,-7.37%,-4.00%,-13.76%,-1.22%,-26.76%,1.07
TER,"Teradyne, Inc.",-2.27%,8.00%,-0.58%,-7.74%,-14.72%,1.62
WULF,Terawulf Inc,7.33%,13.00%,3.11%,-43.21%,-91.31%,1.74
TEX,Terex Corporation,7.20%,27.00%,16.07%,6.46%,-24.72%,1.45
TMX^A12,Terminix Global Holdings Inc,0.75%,9.00%,-0.05%,0.80%,9.73%,0.81
TX,Ternium SA (ADR),2.00%,12.00%,-7.24%,-18.33%,-34.50%,1.12
TERN,Terns Pharmaceuticals Inc,17.80%,-12.00%,-21.86%,40.20%,-76.55%,0.56
LLAP,Terran Orbital Corp,1.37%,-3.00%,-13.96%,2.47%,-51.76%,1.01
TRNO,Terreno Realty Corporation,3.76%,13.00%,2.71%,-6.33%,0.76%,0.79
TBNK,Territorial Bancorp Inc,-2.27%,-2.00%,-8.03%,-3.55%,-10.90%,0.2
TSCDY,Tesco PLC (ADR),1.25%,7.00%,-3.88%,-8.87%,4.63%,
TSLA,Tesla Inc,-4.24%,24.00%,12.13%,12.45%,31.07%,2
TESS,"TESSCO Technologies, Inc.",-3.37%,-5.00%,-14.12%,-17.99%,1.28%,0.25
TETAA,"Teton Advisors, Inc.",11.03%,6.00%,-3.94%,-36.30%,-41.46%,
TTEK,"Tetra Tech, Inc.",-3.78%,9.00%,-1.89%,10.78%,11.47%,1.04
TTI,"TETRA Technologies, Inc.",6.87%,4.00%,-8.53%,-9.78%,24.60%,0.91
TEVA,Teva Pharmaceutical Industries Ltd (ADR),12.34%,60.00%,45.52%,41.85%,16.86%,1.19
TCBI,Texas Capital Bancshares Inc,4.47%,15.00%,3.82%,11.65%,0.32%,1.02
TCBS,Texas Community Bancshares Inc,0.00%,-2.00%,-13.27%,-12.17%,8.89%,0.29
TXN,Texas Instruments Incorporated,-0.19%,16.00%,7.17%,3.93%,1.75%,0.97
TMRC,Texas Mineral Resources Corp,0.00%,-3.00%,-13.08%,-7.56%,15.66%,
TPL,Texas Pacific Land Corp,-2.21%,4.00%,-2.31%,28.30%,22.61%,0.8
TXRH,Texas Roadhouse Inc,3.75%,16.00%,5.58%,15.56%,8.01%,1.33
TGH,Textainer Group Holdings Limited,1.44%,20.00%,10.63%,1.23%,1.05%,1.04
TXT,Textron Inc.,2.23%,11.00%,0.92%,0.61%,-3.58%,1.18
TFFP,TFF Pharmaceuticals Inc,13.87%,11.00%,-0.75%,48.05%,-12.02%,1.15
TFSL,TFS Financial Corporation,1.82%,17.00%,4.22%,-0.06%,-19.69%,0.55
TGTX,TG Therapeutics Inc,31.35%,29.00%,18.22%,30.30%,-62.16%,1.9
TSPG,TGI Solar Power Group Inc,-7.25%,6.00%,-9.88%,3.64%,-30.35%,
THLLY,Thales SA (ADR),-0.18%,5.00%,-6.82%,-3.82%,29.42%,
CBDG,THC Farmaceuticals Inc,-30.11%,86.00%,17.39%,71.14%,-31.50%,
HCKT,"The Hackett Group, Inc.",-0.32%,14.00%,2.61%,-3.69%,31.35%,0.58
HOKCY,The Hong Kong and China Gas Co. (ADR),-5.77%,-7.00%,-17.30%,-12.76%,-33.59%,
NCTY,The9 Limited (ADR),3.33%,-12.00%,-19.10%,15.90%,-89.62%,2.99
TGLO,"theglobe.com, inc.",-0.51%,-36.00%,-31.95%,-40.88%,3.91%,
THER,Theralink Technologies Inc,0.00%,11.00%,3.20%,-56.02%,-99.11%,
TSOI,Therapeutic Solutions International Inc,-9.63%,-15.00%,-27.33%,-30.34%,-70.07%,
TXMD,TherapeuticsMD Inc,3.04%,73.00%,55.02%,147.17%,-79.02%,0.97
TBPH,Theravance Biopharma Inc,1.73%,12.00%,-1.64%,-0.72%,-26.73%,0.84
TMO,Thermo Fisher Scientific Inc.,0.74%,10.00%,2.24%,6.47%,15.52%,0.95
THMO,Thermogenesis Holdings Inc,4.76%,11.00%,-0.67%,-40.91%,-89.79%,1.19
THR,Thermon Group Holdings Inc,11.93%,26.00%,14.03%,15.89%,8.31%,0.63
TOOD,Thermwood Corporation,0.00%,0.00%,-9.70%,4.25%,43.14%,
THRX,Theseus Pharmaceuticals Inc,16.88%,26.00%,15.53%,4.85%,0.00%,1.5
TCBX,Third Coast Bancshares Inc,0.16%,-11.00%,-19.69%,-23.80%,0.00%,0.46
THVB,Thomasville Bancshares Inc,-0.31%,-2.00%,-11.79%,-8.69%,1.39%,
TRI,Thomson Reuters Corp,3.31%,8.00%,1.46%,22.28%,7.37%,0.56
THO,"Thor Industries, Inc.",2.52%,9.00%,-0.93%,4.82%,-22.97%,1.24
TBLD,Thornburg Income Builder Opprtnts Trust,1.11%,7.00%,-4.11%,-1.76%,-19.58%,0.72
THRN,Thorne HealthTech Inc,6.02%,25.00%,13.93%,-15.79%,0.00%,1.12
TWKS,Thoughtworks Holding Inc,2.37%,20.00%,4.73%,9.07%,0.00%,1.58
TDUP,ThredUp Inc,21.48%,50.00%,31.23%,-30.79%,-84.71%,1.8
THAC,Thrive Acquisition Corp,-0.20%,0.00%,-9.43%,-6.63%,0.00%,0
THRY,Thryv Holdings Inc,13.45%,30.00%,14.37%,9.08%,-13.78%,0.92
TBCP,Thunder Bridge Capital Partners III Inc,0.10%,0.00%,-9.43%,-5.96%,6.57%,0
THCP,Thunder Bridge Capital Partners IV Inc,-0.20%,0.00%,-10.16%,-7.01%,0.00%,0.07
TNRG,Thunder Energies Corp,0.00%,0.00%,-9.70%,-41.58%,-68.07%,
THMG,"Thunder Mountain Gold, Inc",-1.80%,-18.00%,-29.44%,-33.18%,-37.51%,
TIRX,Tian Ruixiang Holdings Ltd,3.63%,16.00%,3.60%,18.08%,-83.69%,0.98
CIIT,Tianci International Inc,0.00%,34.00%,20.77%,139.72%,96.35%,
TIPS,Tianrong Internet Products and Srvcs Inc,4.18%,0.00%,-19.54%,-24.65%,"1,089.39%",
TDW,Tidewater Inc.,-11.76%,3.00%,-6.94%,-11.73%,70.54%,0.57
TINV,Tiga Acquisition Corp,0.05%,0.00%,-9.35%,-5.71%,8.53%,0
