Symbol,Company Name,5 Day Chg,4 Week Chg,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,Beta
DK,Delek US Holdings Inc,-2.91%,13.00%,5.22%,-4.60%,66.28%,0.69
DELL,Dell Technologies Inc,6.25%,9.00%,-1.14%,-0.60%,-0.19%,1.03
DAL,"Delta Air Lines, Inc.",2.05%,13.00%,3.16%,-16.30%,-11.63%,1.47
DLA,"Delta Apparel, Inc.",-10.20%,-8.00%,-18.20%,-27.74%,-32.84%,0.77
DLX,Deluxe Corporation,-9.50%,7.00%,-3.03%,-12.19%,-41.71%,0.81
DWIN,Delwinds Insurance Acquisition Corp,0.00%,0.00%,-9.48%,-5.50%,8.06%,0
DECA,Denali Capital Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,
DNLI,Denali Therapeutics Inc,16.02%,14.00%,1.35%,72.48%,-24.29%,1.65
DEN,Denbury Inc,9.30%,33.00%,15.70%,10.25%,21.21%,1.23
DNN,Denison Mines Corp,-0.65%,14.00%,12.04%,14.01%,12.71%,1.88
DMKBA,Denmark Bancshares Inc,-1.18%,-3.00%,-12.03%,-0.98%,66.95%,
DENN,Denny's Corp,-0.59%,14.00%,2.20%,-4.25%,-32.97%,1.13
XRAY,DENTSPLY SIRONA Inc,3.18%,8.00%,-3.50%,-8.12%,-32.99%,0.61
DRMA,Dermata Therapeutics Inc,-2.51%,-20.00%,-23.10%,-19.86%,0.00%,0.95
DMTK,DermTech Inc,-32.82%,-10.00%,-22.47%,-17.89%,-83.77%,2.57
DSGX,Descartes Systems Group Inc (USA),1.15%,13.00%,6.28%,22.82%,3.59%,0.9
DSRO,Descrypto Holdings Inc,-2.00%,15.00%,3.96%,-8.54%,-43.16%,
,Design Therapeutics Inc,15.63%,34.00%,21.76%,119.76%,46.07%,1.55
DBI,Designer Brands Inc,11.11%,28.00%,17.90%,20.19%,17.78%,1.26
DM^A19,Desktop Metal Inc,27.78%,22.00%,12.97%,94.07%,-66.73%,2.1
DESP,Despegar.com Corp,11.98%,18.00%,0.85%,-11.38%,-29.20%,1.2
DXLG,Destination XL Group Inc,1.60%,22.00%,8.95%,6.00%,-8.44%,1.65
DSWL,"Deswell Industries, Inc.",1.27%,5.00%,-6.79%,-12.29%,-21.94%,-0.22
DB,Deutsche Bank AG (USA),3.09%,15.00%,5.69%,-4.32%,-6.73%,1.23
DLAKY,Deutsche Lufthansa AG (ADR),10.52%,19.00%,8.20%,-9.32%,-7.25%,
DPSGY,Deutsche Post AG - ADR,0.00%,17.00%,0.00%,0.00%,0.00%,
DTEGY,Deutsche Telekom AG (ADR),2.32%,3.00%,-9.61%,-0.26%,-2.74%,
DEVM,Devmar Equities Inc,0.00%,2.00%,12.87%,-6.53%,339.08%,
DVN,Devon Energy Corp,5.91%,14.00%,3.11%,-13.22%,128.86%,0.87
DEWY,Dewey Electronics Corp,0.00%,0.00%,-15.35%,-12.37%,-19.96%,
DXCM,"DexCom, Inc.",-0.73%,17.00%,6.12%,6.52%,-24.34%,1.53
DHBC,DHB Capital Corp,0.20%,1.00%,-9.19%,-5.72%,7.79%,0.02
DHCA,DHC Acquisition Corp,0.10%,0.00%,-9.24%,-5.96%,7.23%,-0.01
DHX,DHI Group Inc,0.38%,5.00%,-4.05%,-20.32%,44.73%,0.53
DHT,DHT Holdings Inc,3.64%,16.00%,6.06%,31.74%,43.35%,0.65
DEO,Diageo plc (ADR),0.17%,9.00%,-0.79%,-2.18%,1.11%,0.71
DMAC,DiaMedica Therapeutics Inc,7.45%,36.00%,16.58%,-30.00%,-46.54%,0.3
DHIL,"Diamond Hill Investment Group, Inc.",-3.46%,4.00%,-5.09%,-2.21%,17.39%,0.72
DO,Diamond Offshore Drilling Inc,4.02%,25.00%,12.71%,-3.21%,0.00%,
FANG,Diamondback Energy Inc,3.84%,18.00%,2.91%,-5.96%,73.16%,0.85
DHCC,Diamondhead Casino Corporation,-4.08%,52.00%,36.90%,25.58%,115.34%,
DHHC,DiamondHead Holdings Corp,0.10%,1.00%,-9.38%,-5.87%,7.56%,0.02
DRH,DiamondRock Hospitality Company,3.26%,13.00%,2.23%,-6.83%,14.14%,1.26
DSX,Diana Shipping Inc,-4.06%,29.00%,21.84%,7.26%,71.02%,0.91
DICE,Dice Therapeutics Inc,18.68%,36.00%,21.29%,16.63%,0.00%,1.22
DKS,Dicks Sporting Goods Inc,4.50%,16.00%,5.50%,9.76%,2.95%,1.61
DIDIY,DiDi Global Inc - ADR,4.53%,4.00%,-10.60%,83.27%,-65.52%,
DBD,Diebold Nixdorf Inc,-1.71%,49.00%,48.02%,88.16%,-58.09%,1.95
DPWW,Diego Pellicer Worldwide Inc,9.09%,-8.00%,-9.70%,-26.21%,-78.92%,
DFFN,Diffusion Pharmaceuticals Inc,4.48%,-11.00%,-19.99%,3.03%,-74.08%,26.54
DTGI,Digerati Technologies Inc,10.05%,37.00%,24.37%,9.58%,-11.24%,
DGII,Digi International Inc.,12.20%,40.00%,24.71%,60.16%,73.52%,0.89
DMRC,Digimarc Corp,15.26%,42.00%,22.82%,-8.43%,-25.52%,1.56
DGLY,"Digital Ally, Inc.",7.49%,7.00%,-4.16%,-17.87%,-40.79%,0.99
DBGI,Digital Brands Group Inc,30.92%,-1.00%,-27.25%,-37.12%,-96.13%,-0.06
DHAC,Digital Health Acquisition Corp,0.00%,0.00%,-9.43%,-5.88%,0.00%,0
DMS,Digital Media Solutions Inc,-21.33%,-4.00%,-16.76%,-38.38%,-83.70%,1.43
DLR,"Digital Realty Trust, Inc.",2.41%,10.00%,-2.62%,-2.49%,-9.55%,0.69
DTOC,Digital Transformation Opportunits Corp,0.31%,1.00%,-9.15%,-5.58%,7.12%,0
APPS,Digital Turbine Inc,4.15%,42.00%,26.07%,-5.11%,-59.08%,2.75
DWAC,Digital World Acquisition Corp,-2.23%,2.00%,-0.97%,-27.73%,0.00%,0.86
DBRG,DigitalBridge Group Inc,-0.91%,6.00%,-3.10%,-7.89%,-19.75%,1.34
DOCN,DigitalOcean Holdings Inc,16.37%,49.00%,28.16%,59.52%,-3.69%,2.64
DILA,DILA Capital Acquisition Corp,0.20%,1.00%,-9.24%,-5.87%,8.56%,0
DDS,"Dillard's, Inc.",2.63%,24.00%,11.32%,-17.95%,49.00%,1.73
DCOM,Dime Community Bancshares Inc (New York),2.05%,17.00%,4.13%,5.00%,7.96%,0.83
DIMC,Dimeco Inc,0.00%,9.00%,-0.28%,-4.17%,42.95%,
DIN,Dine Brands Global Inc,0.83%,12.00%,3.39%,5.06%,6.41%,1.31
DDL,Dingdong (Cayman) Ltd (ADR),1.35%,-12.00%,-27.47%,4.92%,-77.70%,1.38
DIOD,Diodes Inc,-5.26%,18.00%,11.55%,5.49%,-6.26%,1.56
DRCT,Direct Digital Holdings Inc,18.60%,66.00%,49.04%,14.59%,0.00%,1.38
DSAQ,Direct Selling Acquisition Corp,0.20%,0.00%,-9.07%,-5.97%,0.00%,0.01
DFS,Discover Financial Services,5.08%,4.00%,-2.16%,-3.54%,-13.82%,1.32
DENR,Discovery Energy Corp,0.00%,-33.00%,-39.76%,-15.03%,-24.73%,
DISH,DISH Network Corp,6.20%,13.00%,-0.50%,3.58%,-52.74%,1.4
DISA,Disruptive Acquisition Corporation I,0.20%,1.00%,-9.33%,-6.72%,6.23%,-0.02
DSGR,Distribution Solutions Group Inc,-0.46%,3.00%,-8.80%,15.88%,-1.40%,0.27
DSEY,Diversey Holdings Ltd,-14.72%,4.00%,-7.86%,-18.90%,-57.70%,1.57
DHC,Diversified Healthcare Trust,5.75%,8.00%,-2.84%,-16.52%,-49.51%,0.96
BEVFF,Diversified Royalty Corp,6.87%,9.00%,-0.72%,2.31%,-0.14%,
DNIF,Dividend And Income Fund  Inc,-0.41%,5.00%,-5.06%,-11.44%,-14.45%,
DXYN,Dixie Group Inc,-2.17%,21.00%,5.20%,-39.04%,-59.18%,1.33
DLHC,DLH Holdings Corp,-2.83%,15.00%,5.49%,2.23%,64.07%,1.08
DLO,Dlocal Ltd,9.29%,31.00%,13.12%,81.91%,-31.75%,2.05
DLTI,DLT Resolution Inc,0.00%,55.00%,-7.28%,-23.22%,-64.77%,
BOOM,Dmc Global Inc,10.32%,29.00%,20.26%,-2.15%,-45.34%,1.32
DMYS,dMY Technology Group Inc VI,-0.20%,0.00%,-9.61%,-6.05%,0.00%,0.02
DNP,DNP Select Income Fund Inc.,0.26%,4.00%,-6.59%,-3.92%,12.49%,0.25
DCGO,DocGo Inc,13.37%,29.00%,14.98%,68.17%,-0.04%,1.42
DOCU,Docusign Inc,6.00%,25.00%,10.33%,4.24%,-73.64%,2.44
DOGZ,Dogness International Corp,1.81%,1.00%,-15.22%,-62.66%,-15.60%,1.21
DLB,"Dolby Laboratories, Inc.",0.96%,8.00%,-1.03%,2.19%,-13.17%,0.72
DOLE,Dole PLC,3.08%,10.00%,-1.85%,-18.75%,-35.65%,0.74
DG,Dollar General Corp.,0.95%,4.00%,-6.86%,4.12%,12.53%,0.76
DLTR,"Dollar Tree, Inc.",0.53%,-2.00%,-9.69%,-0.60%,72.45%,0.72
DLPN,Dolphin Entertainment Inc,-2.00%,12.00%,1.92%,37.40%,-50.01%,1.25
DOMA,Doma Holdings Inc,14.33%,7.00%,-12.21%,-43.20%,-88.25%,1.64
